what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278354746584
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278354749002
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1278354752874
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278354757578
activated,view,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui.HelpView",1278354757586
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1278354759545
activated,view,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui.HelpView",1278354762647
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1278354764217
activated,view,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui.HelpView",1278354767297
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1278354767416
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1278354770941
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1278354771825
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278354774653
error,log,,,"Unable to create editor ID com.powerflasher.fdt.ui.editor.ASEditor: Language null not supported",1278354774808
opened,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278354774875
opened,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278354774878
closed,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278354774883
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278354774998
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278354786527
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278354786655
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278354926671
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278354928210
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278354928807
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278354929240
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1278354929401
